id	n	acpt_rate	beta	se_beta	pvalue	h	se_h	sigma2	se_sigma2	alpha0	se_alpha0
scaffold125546-6984	4	7.899e-01	7.511e+00	4.295e+00	8.034e-02	5.107e-01	2.877e-01	3.809e+01	3.326e+01	3.737e+00	3.184e+00
scaffold125546-7061	4	7.548e-01	5.346e+00	3.263e+00	1.014e-01	5.160e-01	2.914e-01	4.656e+01	3.642e+01	3.894e+00	3.593e+00
scaffold125559-9982	4	7.543e-01	5.800e+00	3.711e+00	1.181e-01	5.325e-01	2.875e-01	5.206e+01	3.547e+01	3.355e+00	3.246e+00
scaffold125559-10025	4	7.452e-01	3.635e+00	3.153e+00	2.489e-01	5.209e-01	2.808e-01	5.400e+01	3.566e+01	2.881e+00	3.396e+00
scaffold125559-10042	4	5.968e-01	4.443e+00	3.839e+00	2.471e-01	4.763e-01	2.918e-01	8.180e+01	3.513e+01	6.913e+00	4.501e+00
scaffold125715-11963	4	7.822e-01	-3.868e-01	2.519e+00	8.780e-01	5.483e-01	2.868e-01	3.463e+01	3.317e+01	9.601e+00	4.362e+00
scaffold125721-2508	4	7.645e-01	2.637e+00	2.940e+00	3.698e-01	5.216e-01	2.837e-01	4.529e+01	3.388e+01	4.817e+00	3.275e+00
scaffold125736-7709	4	7.905e-01	3.809e+00	3.227e+00	2.379e-01	5.277e-01	2.887e-01	3.846e+01	3.309e+01	3.893e+00	3.197e+00
scaffold125767-7998	4	7.922e-01	6.957e+00	3.685e+00	5.904e-02	5.236e-01	2.940e-01	4.055e+01	3.554e+01	4.794e+00	3.213e+00
scaffold125767-8115	4	7.827e-01	3.858e+00	3.852e+00	3.166e-01	5.429e-01	2.890e-01	3.989e+01	3.663e+01	6.214e+00	3.161e+00
scaffold125829-12128	4	7.791e-01	1.397e+00	2.337e+00	5.501e-01	5.343e-01	2.862e-01	3.720e+01	3.474e+01	6.322e+00	2.979e+00
scaffold12598-10177	4	7.908e-01	3.767e+00	2.964e+00	2.037e-01	5.297e-01	2.856e-01	3.469e+01	3.228e+01	3.675e+00	3.106e+00
scaffold12598-11158	4	7.709e-01	6.927e+00	3.953e+00	7.970e-02	5.192e-01	2.918e-01	4.672e+01	3.587e+01	3.841e+00	3.372e+00
scaffold12598-11166	4	7.998e-01	2.714e+00	2.820e+00	3.358e-01	5.375e-01	2.850e-01	3.044e+01	3.117e+01	3.698e+00	3.058e+00
scaffold12599-6762	4	7.928e-01	3.653e+00	2.797e+00	1.915e-01	5.192e-01	2.870e-01	3.667e+01	3.501e+01	5.169e+00	3.111e+00
scaffold12599-13262	4	7.983e-01	7.378e+00	4.316e+00	8.735e-02	5.221e-01	2.864e-01	3.477e+01	3.315e+01	3.268e+00	2.932e+00
scaffold1261-5354	4	7.943e-01	2.249e+00	2.463e+00	3.611e-01	5.279e-01	2.882e-01	2.834e+01	3.114e+01	4.984e+00	3.530e+00
scaffold1261-23291	4	6.995e-01	4.029e+00	3.444e+00	2.421e-01	5.060e-01	2.855e-01	6.404e+01	3.640e+01	6.032e+00	3.977e+00
scaffold126121-16573	4	7.192e-01	4.831e+00	3.722e+00	1.943e-01	5.052e-01	2.846e-01	6.043e+01	3.961e+01	5.433e+00	3.693e+00
scaffold126121-16623	4	7.143e-01	2.385e+00	3.405e+00	4.837e-01	5.175e-01	2.836e-01	5.840e+01	3.672e+01	4.466e+00	3.622e+00
scaffold126148-5008	4	7.418e-01	7.477e-01	2.379e+00	7.533e-01	4.975e-01	2.926e-01	4.892e+01	3.787e+01	6.684e+00	3.386e+00
scaffold126148-5356	4	8.025e-01	1.062e+00	2.384e+00	6.558e-01	5.237e-01	2.855e-01	2.616e+01	3.007e+01	7.346e+00	3.157e+00
scaffold126148-5429	4	7.477e-01	-1.058e-01	3.139e+00	9.731e-01	5.082e-01	2.866e-01	5.251e+01	3.722e+01	9.225e+00	3.652e+00
scaffold126148-5432	4	7.761e-01	8.422e-01	3.086e+00	7.849e-01	5.110e-01	2.895e-01	3.928e+01	3.559e+01	7.442e+00	3.212e+00
scaffold126148-5437	4	7.566e-01	5.898e+00	3.928e+00	1.333e-01	5.146e-01	2.872e-01	4.772e+01	3.744e+01	6.067e+00	3.629e+00
scaffold126148-6133	4	7.821e-01	2.940e+00	2.802e+00	2.940e-01	5.305e-01	2.880e-01	3.646e+01	3.397e+01	8.309e+00	2.994e+00
scaffold126148-7519	4	7.807e-01	1.154e+00	2.830e+00	6.835e-01	5.396e-01	2.837e-01	3.795e+01	3.407e+01	1.027e+01	4.850e+00
scaffold126148-7732	4	7.992e-01	1.421e+00	2.309e+00	5.382e-01	5.320e-01	2.929e-01	3.043e+01	3.207e+01	4.390e+00	2.783e+00
scaffold126161-5425	4	7.765e-01	1.439e+00	2.537e+00	5.704e-01	5.265e-01	2.870e-01	3.410e+01	3.397e+01	4.779e+00	3.188e+00
scaffold12618-8183	4	7.979e-01	2.552e+00	2.561e+00	3.190e-01	5.434e-01	2.932e-01	2.878e+01	3.127e+01	4.567e+00	2.900e+00
scaffold12618-12084	4	7.891e-01	2.068e+00	2.701e+00	4.439e-01	5.269e-01	2.878e-01	3.451e+01	3.300e+01	9.869e+00	3.186e+00
scaffold126195-1540	4	7.276e-01	3.120e+00	3.172e+00	3.253e-01	5.293e-01	2.831e-01	5.538e+01	3.710e+01	5.930e+00	4.088e+00
scaffold126195-1987	4	7.710e-01	4.512e+00	3.798e+00	2.348e-01	5.333e-01	2.892e-01	4.489e+01	3.427e+01	4.293e+00	3.328e+00
scaffold126195-1994	4	7.800e-01	5.474e+00	3.309e+00	9.812e-02	5.203e-01	2.828e-01	4.262e+01	3.744e+01	4.103e+00	3.438e+00
scaffold12623-4998	4	8.090e-01	6.266e+00	3.801e+00	9.923e-02	5.394e-01	2.885e-01	2.982e+01	3.091e+01	3.512e+00	2.891e+00
scaffold126261-32527	4	7.695e-01	6.144e+00	3.730e+00	9.948e-02	5.334e-01	2.859e-01	4.402e+01	3.502e+01	4.369e+00	3.532e+00
scaffold12627-1908	4	7.536e-01	3.254e+00	3.086e+00	2.917e-01	5.252e-01	2.800e-01	5.038e+01	3.515e+01	7.023e+00	3.567e+00
scaffold12627-2353	4	7.968e-01	2.589e+00	2.533e+00	3.069e-01	5.262e-01	2.897e-01	2.957e+01	3.074e+01	5.888e+00	2.815e+00
scaffold12627-2383	4	8.054e-01	2.178e+00	2.462e+00	3.764e-01	5.319e-01	2.945e-01	2.263e+01	2.938e+01	4.714e+00	2.591e+00
scaffold12627-2430	4	8.016e-01	3.831e-01	1.582e+00	8.087e-01	5.374e-01	2.908e-01	2.130e+01	2.922e+01	6.513e+00	2.688e+00
scaffold126310-6335	4	7.505e-01	1.016e+00	2.297e+00	6.582e-01	5.222e-01	2.857e-01	4.522e+01	3.503e+01	9.711e+00	3.809e+00
scaffold126323-1078	4	7.679e-01	4.452e+00	3.427e+00	1.939e-01	5.223e-01	2.878e-01	4.238e+01	3.733e+01	6.502e+00	3.820e+00
scaffold126323-1102	4	8.078e-01	9.342e-01	2.028e+00	6.450e-01	5.136e-01	2.914e-01	2.115e+01	2.814e+01	4.578e+00	2.721e+00
scaffold126463-3547	4	7.134e-01	6.969e+00	4.246e+00	1.007e-01	5.123e-01	2.833e-01	5.928e+01	3.450e+01	5.993e+00	3.453e+00
scaffold126525-12671	4	7.661e-01	3.289e+00	3.249e+00	3.115e-01	5.011e-01	2.845e-01	4.567e+01	3.399e+01	3.848e+00	3.258e+00
scaffold126525-12690	4	7.656e-01	6.482e+00	3.751e+00	8.398e-02	5.361e-01	2.824e-01	4.698e+01	3.542e+01	4.580e+00	3.157e+00
scaffold126525-12773	4	7.837e-01	3.435e+00	2.691e+00	2.017e-01	5.306e-01	2.865e-01	4.006e+01	3.436e+01	4.019e+00	3.085e+00
scaffold126525-12839	4	7.745e-01	4.010e+00	3.428e+00	2.421e-01	5.313e-01	2.900e-01	4.245e+01	3.358e+01	3.989e+00	3.139e+00
scaffold126525-12935	4	7.655e-01	7.849e+00	4.301e+00	6.802e-02	5.310e-01	2.881e-01	4.696e+01	3.545e+01	4.122e+00	3.169e+00
scaffold126557-9043	4	8.011e-01	-8.990e-01	2.094e+00	6.677e-01	5.481e-01	2.847e-01	2.683e+01	3.146e+01	6.610e+00	3.158e+00
scaffold126610-2625	4	7.809e-01	1.960e+00	2.135e+00	3.585e-01	5.361e-01	2.891e-01	3.282e+01	3.256e+01	6.746e+00	3.341e+00
scaffold126610-2652	4	8.019e-01	2.041e+00	2.117e+00	3.350e-01	5.291e-01	2.871e-01	3.160e+01	3.069e+01	3.893e+00	2.991e+00
scaffold126610-2675	4	7.913e-01	2.610e+00	3.273e+00	4.252e-01	5.319e-01	2.899e-01	3.328e+01	3.399e+01	4.185e+00	2.922e+00
scaffold126762-4792	4	7.344e-01	2.707e+00	3.194e+00	3.967e-01	5.319e-01	2.799e-01	5.636e+01	3.633e+01	4.951e+00	3.619e+00
scaffold126762-6418	4	7.197e-01	8.229e-01	3.384e+00	8.078e-01	5.244e-01	2.857e-01	5.315e+01	3.858e+01	9.417e+00	3.572e+00
scaffold126762-6430	4	7.980e-01	3.649e+00	3.153e+00	2.471e-01	5.024e-01	2.821e-01	3.249e+01	3.331e+01	4.529e+00	3.086e+00
scaffold12678-5444	4	7.499e-01	4.796e+00	3.414e+00	1.601e-01	5.230e-01	2.900e-01	4.830e+01	3.565e+01	6.114e+00	3.638e+00
scaffold12678-5472	4	5.996e-01	2.230e+00	2.351e+00	3.430e-01	4.890e-01	2.864e-01	7.973e+01	3.866e+01	8.655e+00	4.421e+00
scaffold12678-5544	4	7.853e-01	5.350e+00	3.406e+00	1.162e-01	5.332e-01	2.845e-01	4.108e+01	3.488e+01	4.461e+00	3.139e+00
scaffold12678-5718	4	8.009e-01	6.094e+00	3.345e+00	6.852e-02	5.188e-01	2.843e-01	3.030e+01	3.095e+01	4.368e+00	3.189e+00
scaffold12678-5814	4	7.890e-01	6.586e+00	4.145e+00	1.121e-01	5.395e-01	2.808e-01	3.526e+01	3.306e+01	5.125e+00	3.007e+00
scaffold12678-5816	4	7.939e-01	2.591e+00	2.382e+00	2.766e-01	5.351e-01	2.823e-01	3.292e+01	3.169e+01	4.803e+00	2.879e+00
scaffold12678-5838	4	8.023e-01	3.860e+00	2.686e+00	1.507e-01	5.178e-01	2.842e-01	2.870e+01	3.036e+01	4.152e+00	2.764e+00
scaffold12678-5843	4	7.979e-01	3.531e+00	2.738e+00	1.973e-01	5.259e-01	2.837e-01	3.226e+01	3.135e+01	4.337e+00	2.856e+00
scaffold12678-5856	4	8.076e-01	9.225e+00	4.232e+00	2.928e-02	5.393e-01	2.816e-01	2.996e+01	3.177e+01	4.338e+00	2.833e+00
scaffold12678-5866	4	7.991e-01	3.976e+00	3.550e+00	2.628e-01	5.323e-01	2.919e-01	3.302e+01	3.144e+01	4.849e+00	2.975e+00
scaffold12678-5895	4	8.049e-01	5.536e+00	3.289e+00	9.237e-02	5.345e-01	2.863e-01	3.201e+01	3.263e+01	4.724e+00	2.980e+00
scaffold12678-5930	4	8.019e-01	2.533e+00	2.534e+00	3.174e-01	5.268e-01	2.880e-01	3.240e+01	3.160e+01	4.363e+00	2.958e+00
scaffold12678-8033	4	7.976e-01	2.419e+00	2.738e+00	3.771e-01	5.390e-01	2.865e-01	3.154e+01	3.192e+01	7.396e+00	3.851e+00
scaffold126795-4287	4	7.965e-01	3.081e+00	2.926e+00	2.923e-01	5.195e-01	2.885e-01	3.747e+01	3.511e+01	5.433e+00	3.217e+00
scaffold12689-13998	4	7.323e-01	2.063e+00	2.934e+00	4.820e-01	5.109e-01	2.856e-01	5.781e+01	3.815e+01	6.340e+00	3.704e+00
scaffold12689-14001	4	7.961e-01	4.158e+00	3.087e+00	1.779e-01	5.347e-01	2.811e-01	2.822e+01	3.007e+01	3.939e+00	3.117e+00
scaffold12689-14033	4	7.961e-01	1.033e+00	1.732e+00	5.511e-01	5.264e-01	2.929e-01	2.990e+01	3.036e+01	4.475e+00	2.790e+00
scaffold12689-14064	4	8.057e-01	4.333e+00	2.653e+00	1.024e-01	5.198e-01	2.917e-01	2.454e+01	2.869e+01	3.421e+00	2.626e+00
scaffold12689-14163	4	7.357e-01	3.358e+00	3.120e+00	2.819e-01	5.055e-01	2.869e-01	5.265e+01	3.493e+01	5.452e+00	3.417e+00
scaffold12689-14168	4	7.121e-01	5.128e+00	3.811e+00	1.785e-01	5.154e-01	2.822e-01	5.937e+01	3.933e+01	5.135e+00	3.963e+00
scaffold126916-4516	4	7.712e-01	5.382e+00	3.559e+00	1.305e-01	5.082e-01	2.850e-01	4.473e+01	3.550e+01	4.815e+00	3.309e+00
scaffold126961-13075	4	8.027e-01	-4.271e-01	1.669e+00	7.980e-01	5.154e-01	2.827e-01	2.310e+01	2.911e+01	6.046e+00	3.056e+00
scaffold126961-13089	4	7.835e-01	2.135e+00	2.780e+00	4.425e-01	5.330e-01	2.846e-01	3.507e+01	3.302e+01	8.830e+00	4.316e+00
scaffold127014-10564	4	6.867e-01	1.620e+00	3.389e+00	6.326e-01	5.076e-01	2.903e-01	6.516e+01	3.535e+01	5.842e+00	3.685e+00
scaffold127118-1943	4	7.622e-01	-2.624e-01	3.316e+00	9.369e-01	5.367e-01	2.865e-01	4.471e+01	3.763e+01	8.096e+00	3.792e+00
scaffold127118-1956	4	7.763e-01	-2.330e+00	2.592e+00	3.688e-01	5.359e-01	2.836e-01	3.470e+01	3.396e+01	1.142e+01	3.989e+00
scaffold127118-2374	4	7.970e-01	-2.527e+00	2.758e+00	3.596e-01	5.393e-01	2.763e-01	3.578e+01	3.421e+01	9.407e+00	3.085e+00
scaffold127118-2407	4	7.923e-01	-3.570e-01	2.300e+00	8.767e-01	5.578e-01	2.813e-01	2.637e+01	2.956e+01	8.309e+00	2.989e+00
scaffold127118-2969	4	7.697e-01	-1.796e+00	2.395e+00	4.532e-01	5.418e-01	2.832e-01	4.010e+01	3.558e+01	8.243e+00	3.199e+00
scaffold127290-2666	4	7.795e-01	-3.552e-01	3.004e+00	9.059e-01	5.418e-01	2.824e-01	3.229e+01	3.501e+01	6.915e+00	3.466e+00
scaffold127290-6060	4	8.048e-01	2.180e+00	2.605e+00	4.028e-01	5.264e-01	2.871e-01	2.602e+01	3.039e+01	4.013e+00	2.755e+00
scaffold127302-4991	4	7.730e-01	6.122e+00	3.935e+00	1.198e-01	5.299e-01	2.854e-01	4.720e+01	3.553e+01	3.285e+00	3.146e+00
scaffold12744-15193	4	7.579e-01	7.779e+00	4.338e+00	7.294e-02	5.364e-01	2.887e-01	5.179e+01	3.571e+01	4.895e+00	3.465e+00
scaffold12744-15765	4	7.380e-01	2.939e+00	3.105e+00	3.439e-01	5.322e-01	2.875e-01	5.578e+01	3.562e+01	5.873e+00	3.546e+00
scaffold127445-2839	4	6.764e-01	6.233e+00	4.048e+00	1.236e-01	5.120e-01	2.763e-01	6.547e+01	3.800e+01	6.211e+00	4.261e+00
scaffold127510-12247	4	7.985e-01	1.105e+00	2.466e+00	6.540e-01	5.495e-01	2.795e-01	3.072e+01	3.332e+01	1.115e+01	3.278e+00
scaffold127510-12257	4	7.956e-01	-7.714e-01	1.981e+00	6.969e-01	5.308e-01	2.833e-01	2.492e+01	2.915e+01	6.599e+00	2.777e+00
scaffold127510-12267	4	7.995e-01	-7.619e-01	2.219e+00	7.314e-01	5.480e-01	2.790e-01	2.492e+01	2.981e+01	6.700e+00	2.851e+00
scaffold127510-12273	4	8.115e-01	3.501e-01	1.885e+00	8.527e-01	5.384e-01	2.778e-01	2.179e+01	2.702e+01	9.639e+00	3.208e+00
scaffold127510-12287	4	8.003e-01	6.453e-01	1.803e+00	7.204e-01	5.393e-01	2.851e-01	2.589e+01	2.982e+01	7.548e+00	2.832e+00
scaffold127542-6335	4	7.208e-01	3.757e+00	2.984e+00	2.080e-01	5.090e-01	2.908e-01	5.819e+01	3.558e+01	3.884e+00	3.674e+00
scaffold127670-12455	4	7.739e-01	1.231e+00	2.754e+00	6.548e-01	5.297e-01	2.831e-01	3.619e+01	3.342e+01	9.082e+00	3.922e+00
scaffold1277-4685	4	7.726e-01	3.270e+00	3.105e+00	2.923e-01	5.422e-01	2.788e-01	4.604e+01	3.537e+01	5.202e+00	3.464e+00
scaffold1277-4706	4	8.070e-01	2.802e+00	2.462e+00	2.549e-01	5.417e-01	2.774e-01	2.841e+01	3.075e+01	3.257e+00	2.727e+00
scaffold1277-14083	4	7.494e-01	6.464e-01	2.993e+00	8.290e-01	5.091e-01	2.866e-01	4.665e+01	3.606e+01	6.364e+00	3.277e+00
scaffold1277-14665	4	7.799e-01	8.477e+00	4.339e+00	5.074e-02	5.185e-01	2.833e-01	4.258e+01	3.467e+01	3.795e+00	3.247e+00
scaffold1277-14754	4	7.460e-01	4.273e+00	4.242e+00	3.137e-01	5.320e-01	2.902e-01	5.036e+01	3.666e+01	4.992e+00	3.555e+00
scaffold1277-14823	4	7.690e-01	8.677e-01	2.617e+00	7.402e-01	5.180e-01	2.778e-01	4.446e+01	3.539e+01	5.527e+00	3.317e+00
scaffold1277-14907	4	8.034e-01	3.444e+00	2.976e+00	2.472e-01	5.320e-01	2.806e-01	2.965e+01	3.096e+01	3.966e+00	2.923e+00
scaffold1277-14945	4	8.206e-01	5.332e+00	3.165e+00	9.206e-02	5.344e-01	2.824e-01	2.589e+01	3.006e+01	3.816e+00	2.844e+00
scaffold1277-14986	4	7.906e-01	2.250e+00	2.265e+00	3.204e-01	5.383e-01	2.811e-01	3.379e+01	3.309e+01	4.436e+00	3.010e+00
scaffold127758-1579	4	7.791e-01	7.617e+00	4.051e+00	6.007e-02	5.259e-01	2.914e-01	4.141e+01	3.482e+01	3.904e+00	3.321e+00
scaffold12787-17021	4	7.477e-01	2.740e+00	3.406e+00	4.211e-01	5.151e-01	2.850e-01	5.231e+01	3.574e+01	5.771e+00	3.483e+00
scaffold127908-2475	4	7.782e-01	5.761e+00	3.772e+00	1.267e-01	5.158e-01	2.874e-01	4.139e+01	3.367e+01	4.197e+00	3.104e+00
scaffold127908-2560	4	7.692e-01	1.995e+00	2.354e+00	3.968e-01	5.285e-01	2.900e-01	4.689e+01	3.492e+01	4.533e+00	3.344e+00
scaffold127908-2581	4	7.917e-01	1.023e+00	2.132e+00	6.315e-01	5.427e-01	2.796e-01	3.509e+01	3.432e+01	4.581e+00	3.035e+00
scaffold127908-2583	4	8.037e-01	2.327e+00	2.545e+00	3.604e-01	5.336e-01	2.848e-01	2.725e+01	3.027e+01	3.572e+00	2.918e+00
scaffold127984-1380	4	7.655e-01	2.848e+00	2.908e+00	3.273e-01	5.212e-01	2.894e-01	4.354e+01	3.531e+01	5.888e+00	3.386e+00
scaffold128112-807	4	7.082e-01	4.367e+00	3.091e+00	1.578e-01	5.195e-01	2.810e-01	6.260e+01	3.641e+01	2.932e+00	3.472e+00
scaffold128112-10763	4	7.130e-01	5.988e+00	3.877e+00	1.225e-01	5.057e-01	2.856e-01	5.975e+01	3.516e+01	3.722e+00	3.525e+00
scaffold128112-10791	4	7.320e-01	6.296e+00	3.950e+00	1.110e-01	5.185e-01	2.935e-01	5.797e+01	3.584e+01	2.950e+00	3.510e+00
scaffold128112-10868	4	7.025e-01	6.545e+00	4.036e+00	1.048e-01	5.266e-01	2.874e-01	6.132e+01	3.428e+01	3.178e+00	3.250e+00
scaffold128112-10880	4	7.396e-01	5.626e+00	4.042e+00	1.640e-01	5.131e-01	2.904e-01	5.583e+01	3.577e+01	3.618e+00	3.464e+00
scaffold128180-460	4	7.487e-01	6.560e+00	3.916e+00	9.392e-02	5.142e-01	2.920e-01	5.327e+01	3.577e+01	2.677e+00	3.323e+00
scaffold128214-3775	4	7.895e-01	-9.493e-01	3.183e+00	7.655e-01	5.293e-01	2.807e-01	2.976e+01	3.222e+01	6.904e+00	3.027e+00
scaffold128214-5199	4	8.035e-01	3.679e+00	3.152e+00	2.432e-01	5.464e-01	2.862e-01	3.313e+01	3.151e+01	4.711e+00	2.924e+00
scaffold128214-5213	4	8.042e-01	2.759e+00	2.347e+00	2.397e-01	5.584e-01	2.837e-01	2.444e+01	2.834e+01	4.202e+00	2.587e+00
scaffold128214-5222	4	8.045e-01	4.116e+00	2.795e+00	1.408e-01	5.270e-01	2.872e-01	3.162e+01	3.353e+01	4.641e+00	2.861e+00
scaffold128214-5240	4	8.127e-01	5.738e+00	3.074e+00	6.199e-02	5.425e-01	2.883e-01	2.546e+01	2.964e+01	4.525e+00	2.716e+00
scaffold128214-5284	4	7.885e-01	6.207e+00	4.014e+00	1.220e-01	5.226e-01	2.868e-01	3.361e+01	3.090e+01	4.692e+00	2.847e+00
scaffold128214-5286	4	8.162e-01	4.302e+00	2.874e+00	1.345e-01	5.418e-01	2.789e-01	2.638e+01	3.061e+01	3.913e+00	2.634e+00
scaffold128214-5386	4	7.896e-01	5.144e+00	3.791e+00	1.748e-01	5.425e-01	2.896e-01	3.525e+01	3.303e+01	4.504e+00	2.857e+00
scaffold128214-5514	4	6.796e-01	7.637e-01	2.182e+00	7.264e-01	4.989e-01	2.768e-01	6.898e+01	3.749e+01	7.383e+00	3.807e+00
scaffold128303-8683	4	7.759e-01	5.101e+00	3.492e+00	1.441e-01	5.379e-01	2.771e-01	4.068e+01	3.372e+01	3.272e+00	3.169e+00
scaffold128411-6379	4	7.771e-01	3.634e+00	3.111e+00	2.428e-01	5.343e-01	2.829e-01	4.477e+01	3.445e+01	6.881e+00	3.481e+00
scaffold128411-6382	4	7.730e-01	3.721e-01	2.368e+00	8.751e-01	5.224e-01	2.808e-01	4.126e+01	3.564e+01	6.611e+00	3.259e+00
scaffold128411-6411	4	7.098e-01	4.938e+00	3.229e+00	1.262e-01	5.055e-01	2.899e-01	5.864e+01	3.789e+01	6.523e+00	3.747e+00
scaffold128411-6440	4	8.053e-01	4.707e-01	2.183e+00	8.293e-01	5.161e-01	2.888e-01	2.619e+01	3.073e+01	7.423e+00	2.969e+00
scaffold12844-1615	4	7.846e-01	3.554e+00	3.178e+00	2.634e-01	5.192e-01	2.895e-01	3.753e+01	3.325e+01	4.881e+00	3.168e+00
scaffold12844-1618	4	7.935e-01	-5.507e-01	1.533e+00	7.194e-01	5.420e-01	2.819e-01	2.121e+01	2.933e+01	5.781e+00	2.729e+00
scaffold12844-3433	4	7.990e-01	-2.027e+00	4.160e+00	6.260e-01	5.523e-01	2.862e-01	3.191e+01	3.384e+01	9.261e+00	3.496e+00
scaffold12844-4041	4	8.057e-01	1.988e+00	2.366e+00	4.007e-01	5.418e-01	2.846e-01	2.731e+01	3.046e+01	5.370e+00	2.720e+00
scaffold12844-4171	4	7.692e-01	1.681e+00	3.063e+00	5.830e-01	5.344e-01	2.924e-01	4.330e+01	3.590e+01	7.071e+00	3.421e+00
scaffold12844-5052	4	7.755e-01	5.801e+00	3.745e+00	1.214e-01	5.433e-01	2.837e-01	3.416e+01	3.240e+01	4.557e+00	2.903e+00
scaffold128481-3892	4	7.867e-01	3.219e+00	2.832e+00	2.556e-01	5.184e-01	2.877e-01	3.820e+01	3.315e+01	3.250e+00	3.046e+00
scaffold128567-9494	4	7.903e-01	6.186e+00	3.881e+00	1.110e-01	5.214e-01	2.900e-01	3.512e+01	3.363e+01	4.295e+00	3.080e+00
scaffold128567-9519	4	7.729e-01	3.553e+00	2.867e+00	2.153e-01	5.202e-01	2.824e-01	4.395e+01	3.526e+01	4.230e+00	3.341e+00
scaffold1286-5718	4	7.348e-01	4.807e+00	3.627e+00	1.851e-01	5.216e-01	2.854e-01	5.393e+01	3.551e+01	5.570e+00	3.393e+00
scaffold12874-9257	4	7.791e-01	8.675e+00	4.311e+00	4.418e-02	5.394e-01	2.776e-01	4.269e+01	3.412e+01	3.700e+00	3.152e+00
scaffold12874-9547	4	7.165e-01	5.840e+00	3.779e+00	1.222e-01	5.073e-01	2.889e-01	6.031e+01	3.838e+01	5.725e+00	3.563e+00
scaffold12878-6543	4	7.799e-01	5.071e+00	3.115e+00	1.035e-01	5.270e-01	2.854e-01	4.423e+01	3.574e+01	3.531e+00	3.208e+00
scaffold12878-6555	4	7.869e-01	4.272e+00	3.354e+00	2.027e-01	5.385e-01	2.851e-01	3.998e+01	3.351e+01	3.527e+00	3.129e+00
scaffold128823-11848	4	7.955e-01	8.387e+00	4.137e+00	4.264e-02	5.364e-01	2.865e-01	3.328e+01	3.272e+01	3.974e+00	3.051e+00
scaffold128823-11855	4	7.965e-01	2.409e+00	2.825e+00	3.938e-01	5.508e-01	2.835e-01	2.797e+01	3.040e+01	5.079e+00	2.980e+00
scaffold128967-4420	4	6.339e-01	2.240e+00	4.315e+00	6.037e-01	4.930e-01	2.794e-01	7.087e+01	4.308e+01	1.001e+01	4.909e+00
scaffold129-1438	4	6.955e-01	3.125e+00	3.966e+00	4.308e-01	5.097e-01	2.824e-01	6.411e+01	3.717e+01	1.051e+01	3.768e+00
scaffold12901-22086	4	7.408e-01	5.350e+00	3.400e+00	1.156e-01	5.183e-01	2.845e-01	5.005e+01	3.639e+01	5.400e+00	3.633e+00
scaffold12907-496	4	7.801e-01	-1.710e+00	2.348e+00	4.664e-01	5.351e-01	2.840e-01	3.567e+01	3.353e+01	8.211e+00	3.727e+00
scaffold12907-501	4	8.045e-01	5.553e-01	1.550e+00	7.202e-01	5.227e-01	2.862e-01	2.177e+01	2.862e+01	5.241e+00	2.617e+00
scaffold12907-536	4	7.796e-01	3.879e-01	2.436e+00	8.735e-01	5.361e-01	2.845e-01	3.704e+01	3.185e+01	8.545e+00	3.103e+00
scaffold129077-3885	4	7.872e-01	5.716e+00	3.873e+00	1.400e-01	5.331e-01	2.922e-01	4.041e+01	3.378e+01	2.751e+00	3.177e+00
scaffold12909-8280	4	7.706e-01	1.612e+00	3.794e+00	6.709e-01	5.214e-01	2.873e-01	3.957e+01	3.513e+01	9.099e+00	3.573e+00
scaffold12911-3036	4	6.835e-01	5.401e+00	4.238e+00	2.025e-01	5.032e-01	2.839e-01	6.474e+01	3.832e+01	7.007e+00	4.177e+00
scaffold12911-25070	4	7.731e-01	6.147e+00	3.797e+00	1.055e-01	5.243e-01	2.960e-01	4.523e+01	3.560e+01	2.690e+00	3.336e+00
scaffold129170-11631	4	7.846e-01	5.320e+00	3.653e+00	1.452e-01	5.198e-01	2.859e-01	3.749e+01	3.560e+01	4.310e+00	3.325e+00
scaffold129296-11693	4	7.981e-01	-9.399e-01	2.475e+00	7.041e-01	5.256e-01	2.828e-01	2.703e+01	3.090e+01	7.332e+00	3.227e+00
scaffold129383-6279	4	7.765e-01	3.168e+00	3.514e+00	3.673e-01	5.305e-01	2.856e-01	3.995e+01	3.473e+01	8.556e+00	3.278e+00
scaffold129386-851	4	7.827e-01	7.781e+00	3.813e+00	4.129e-02	5.243e-01	2.795e-01	3.993e+01	3.356e+01	3.242e+00	3.218e+00
scaffold129441-24976	4	7.846e-01	6.176e+00	4.342e+00	1.549e-01	5.464e-01	2.852e-01	3.733e+01	3.523e+01	6.441e+00	3.554e+00
scaffold12946-13430	4	7.662e-01	2.072e+00	2.920e+00	4.779e-01	5.321e-01	2.816e-01	4.404e+01	3.750e+01	5.338e+00	3.595e+00
scaffold12946-25668	4	8.041e-01	2.031e+00	2.290e+00	3.752e-01	5.258e-01	2.883e-01	2.831e+01	3.082e+01	5.290e+00	3.120e+00
scaffold12946-25737	4	8.222e-01	3.109e+00	2.053e+00	1.300e-01	5.427e-01	2.861e-01	2.010e+01	2.776e+01	3.671e+00	2.667e+00
scaffold12946-25757	4	7.686e-01	3.850e+00	3.329e+00	2.475e-01	5.223e-01	2.791e-01	4.660e+01	3.499e+01	4.678e+00	3.264e+00
